x y z Bx By Bz Ex Ey Ez
-1.000000e+01 -7.419355e+00 -9.354839e+00 3.062741e-08 2.272357e-08 2.180372e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -8.709677e+00 3.225065e-08 2.392791e-08 -4.110001e-10 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -8.064516e+00 3.366915e-08 2.498033e-08 -3.475525e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -7.419355e+00 3.479005e-08 2.581197e-08 -7.026322e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -6.774194e+00 3.550844e-08 2.634497e-08 -1.105434e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -6.129032e+00 3.571129e-08 2.649548e-08 -1.552138e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -5.483871e+00 3.528394e-08 2.617841e-08 -2.035354e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -4.838710e+00 3.411921e-08 2.531425e-08 -2.543654e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -4.193548e+00 3.212887e-08 2.383755e-08 -3.061411e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -3.548387e+00 2.925647e-08 2.170641e-08 -3.569117e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -2.903226e+00 2.549001e-08 1.891195e-08 -4.044294e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -2.258065e+00 2.087226e-08 1.548587e-08 -4.463009e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -1.612903e+00 1.550624e-08 1.150463e-08 -4.801932e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -9.677419e-01 9.553999e-09 7.088451e-09 -5.040676e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -3.225806e-01 3.227557e-09 2.394639e-09 -5.164091e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 3.225806e-01 -3.227557e-09 -2.394639e-09 -5.164091e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 9.677419e-01 -9.553999e-09 -7.088451e-09 -5.040676e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 1.612903e+00 -1.550624e-08 -1.150463e-08 -4.801932e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 2.258065e+00 -2.087226e-08 -1.548587e-08 -4.463009e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 2.903226e+00 -2.549001e-08 -1.891195e-08 -4.044294e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 3.548387e+00 -2.925647e-08 -2.170641e-08 -3.569117e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 4.193548e+00 -3.212887e-08 -2.383755e-08 -3.061411e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 4.838710e+00 -3.411921e-08 -2.531425e-08 -2.543654e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 5.483871e+00 -3.528394e-08 -2.617841e-08 -2.035354e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 6.129032e+00 -3.571129e-08 -2.649548e-08 -1.552138e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 6.774194e+00 -3.550844e-08 -2.634497e-08 -1.105434e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 7.419355e+00 -3.479005e-08 -2.581197e-08 -7.026322e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 8.064516e+00 -3.366915e-08 -2.498033e-08 -3.475525e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 8.709677e+00 -3.225065e-08 -2.392791e-08 -4.110001e-10 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 9.354839e+00 -3.062741e-08 -2.272357e-08 2.180372e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 1.000000e+01 -2.887829e-08 -2.142583e-08 4.327236e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -1.000000e+01 3.164247e-08 2.143522e-08 5.707279e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -9.354839e+00 3.372041e-08 2.284286e-08 3.500821e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -8.709677e+00 3.568397e-08 2.417301e-08 7.958192e-10 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -8.064516e+00 3.744326e-08 2.536479e-08 -2.447904e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -7.419355e+00 3.889020e-08 2.634497e-08 -6.254432e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -6.774194e+00 3.990010e-08 2.702910e-08 -1.062368e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -6.129032e+00 4.033582e-08 2.732426e-08 -1.552256e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -5.483871e+00 4.005511e-08 2.713411e-08 -2.087629e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -4.838710e+00 3.892157e-08 2.636623e-08 -2.656153e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -4.193548e+00 3.681891e-08 2.494184e-08 -3.240308e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -3.548387e+00 3.366751e-08 2.280702e-08 -3.817625e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -2.903226e+00 2.944135e-08 1.994414e-08 -4.361681e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -2.258065e+00 2.418230e-08 1.638156e-08 -4.843889e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -1.612903e+00 1.800852e-08 1.219932e-08 -5.236027e-08 0.000000e+00 0.000000e+00 0.000000e+00
